,actualprice,discounted price,name
0,"  8,999","  8,499","Redmi 4 (Black, 32 GB)"
1,"  7,999","  6,999","Infocus Vision 3 (Midnight Black, 18:9 FullVision Display)."
2,"  9,490","  7,990",Samsung On7 Pro (Gold)
3,"  9,999","  8,999","Redmi Y1 (Grey, 32GB)"
4,"  11,999","  8,999","Moto G5 (3GB, Fine Gold)"
5,"  1,199","  1,015",Nokia 105 (Black)
6,"  9,999","  8,999","Redmi Y1 (Gold, 32GB)"
7,"  9,999","  6,999","10.or E (Beyond Black, 3 GB)"
8,"  12,999","  11,970","Lenovo K8 Note (Venom Black, 3GB) with New System Update"
9,"  1,899",  999,"Motorola Moto G4 Plus Compatible Charger Original Adapter Like Mobile Charger || Power Adapter || Wall Charger || Fast Charger || Turbo Charger || Android Smartphone Charger || Fast Turbo Charging Speed || Hi Speed Travel Charger With 1 Meter Micro USB Cable Charging Cable Data Cable ( 2.8 Ampere , Black )"
10,"  7,999","  6,999","Redmi Y1 Lite (Gold,16GB)"
11,0,"  6,999","Redmi 4 (Black, 16 GB)"
12,"  10,999","  9,000","Moto E4 Plus (Iron Gray, 32GB)"
13,"  10,999","  8,090",Lenovo K6 Power (Grey-3GB RAM) (32GB ROM)
14,"  10,999","  9,648","Moto E4 Plus (Fine Gold, 32GB)"
15,"  11,999","  7,999","Coolpad Cool 1 (Gold, 3GB RAM + 32GB memory)"
16,"  7,999","  6,999","Infocus Vision 3 (Premium Gold, 18:9 FullVision Display)."
17,"  9,490","  7,990",Samsung On7 Pro (Black)
18,  699,  279,Dahsha Micro usb Female To usb Male Cable For OTG Morpho 1300 e2 / e3 Fingerprint Scanner - 2 Feet (60cm)
19,"  2,999","  2,299",Tarkan Heavy Duty Compact Pocket Binoculars Real 10X Zoom - 10X25 Porro Prism - Fully Multi-Coated Lens With Shockproof and Waterproof Design
