,actualprice,discounted price,name,prime product
0,0,"  32,999",OnePlus 5T (Midnight Black 6GB RAM + 64GB memory),
1,"  1,349",  849,Aqua Fusion Star - BIG Screen Basic Keypad Mobile Phone with Auto Call Recording Feature - Black,
2,"  1,249",  849,Aqua Neo Pro - 2000 mAh Battery Dual SIM Basic Keypad Mobile Phone with Vibration Feature - BlackBlue,
3,,"  12,999","Honor 7X (Blue, 4GB RAM + 32GB memory)",
4,"  7,999","  6,999","Infocus Vision 3 (Midnight Black, 18:9 FullVision Display).",
5,"  16,999","  14,990","Moto G5s Plus (Lunar Grey, 64GB)",
6,"  8,999","  8,499","Redmi 4 (Black, 32 GB)",
7,"  7,990","  4,235",Panasonic P91 (Blue),
8,"  9,999","  6,999","10.or E (Beyond Black, 3 GB)",
9,"  9,490","  6,990",Samsung On7 Pro (Gold),
10,"  23,990","  22,990","Vivo V9 (19:9 FullView Display, Pearl Black) with Offers",
11,"  6,999","  5,999","10.or D (Beyond Black, 3 GB)",
12,"  1,199",  989,Nokia 105 (Black),
13,,"  12,999","Honor 7X (Black, 4GB RAM + 32GB memory)",
14,0,"  12,990","Samsung Galaxy On7 Prime (Gold, 4GB RAM + 64GB Memory)",
15,  999,  399,Artis JHD-97 Universal Mobile Car Rear View Mirror Mount holder,
16,0,  499,Bounceback ® For Sony Xperia XA1 Plus Shock Proof Carbon Fiber Armor Soft Back Case / Cover (Metallic Black),
17,  399,  299,YT Mobile Phone Metal Stand / Holder For Smartphones and Tablet - Antique Silver (Proudly MADE IN INDIA),
18,"  11,999","  10,999","Redmi Note 4 (Black, 64GB)",
19,"  7,999","  6,999","Redmi Y1 Lite (Gold,16GB)",
20,"  7,999","  6,999","Infocus Vision 3 (Premium Gold, 18:9 FullVision Display).",
21,0,"  32,999",OnePlus 5T (Midnight Black 6GB RAM + 64GB memory),
22,"  12,599","  8,449","Moto G5 (3GB, Fine Gold)",
23,"  9,999","  8,999","Redmi Y1 (Gold, 32GB)",
24,"  16,999","  14,999","Moto G5s Plus (Blush Gold, 64GB)",
25,"  7,399","  6,140",Nokia 2 (Pewter/Black),
26,"  7,999","  6,999","Redmi Y1 Lite (Grey,16GB)",
27,0,"  8,999","Redmi 5 (Gold, 32GB)",
28,"  19,990","  16,990","Vivo V7 (Matte Black, Fullview Display) with Offers",
29,"  7,990","  6,490",Samsung On5 Pro (Gold),
