,availability,name,price,rating,reviews,sale_price
0,In stock.,"Voltas 1 Ton 3 Star (2018) Split AC (Copper, 123 CZA, White)","   27,865.00",3.4 out of 5 stars,0,0
1,Available from these sellers.,"Voltas 1.5 Ton 3 Star (2018) Split AC (185JY/183JZJ1, White)",0,3.1 out of 5 stars,0,0
2,,"Voltas 1.5 Ton 3 Star (2018) Split AC (Copper, 183 JZJ, White)","   32,990.00",3.4 out of 5 stars,0,0
3,In stock.,"Whirlpool 1 Ton 3 Star (2018) Split AC (Aluminium, Magicool DLX, White)","   23,990.00",2.5 out of 5 stars,0,0
4,Available from these sellers.,"Voltas 1.4 Ton 5 Star (2017) Split AC (Aluminium, SAC 175 IY, White/Black)",0,3.0 out of 5 stars,0,0
5,,"Voltas 1.5 Ton 5 Star Window AC (Copper,185 DZA, White)","   26,890.00",3.6 out of 5 stars,0,0
6,In stock.,"LG 1.5 Ton 3 Star Inverter Split AC (Copper, JS-Q18YUXA, White)","   37,490.00",4.7 out of 5 stars,0,0
7,,"Voltas 0.75 Ton 2 Star Window AC (Copper, 102 EZQ, White)","   16,799.00",3.8 out of 5 stars,0,0
8,Available from these sellers.,"Carrier 1.5 Ton 3 Star (2018) Split AC (Copper, Esko Cyclojet CAS18EK3J8F0, White)",0,3.6 out of 5 stars,0,0
9,,"BPL 1.5 Ton 3 Star (2018) Split AC (Copper, A18KF3C8A, White)","   27,990.00",3.9 out of 5 stars,0,0
10,Currently unavailable.,"Voltas 1 Ton 3 Star (2018) Split AC (125 EYR/123ZZY-IMR, Wine Red)",0,3.6 out of 5 stars,0,0
11,In stock.,"Voltas 1.5 Ton 3 Star Inverter Split AC (Copper, 183V CZT, White)","   35,499.00",4.5 out of 5 stars,0,0
12,,"BPL 1.5 Ton 5 Star (2017) Split AC (BAC18K5AHL, White)","   26,990.00",3.5 out of 5 stars,0,0
13,In stock.,"Voltas 1.5 Ton 3 Star Window AC (Copper, 183CYA/183 CZP, White)","   23,490.00",3.8 out of 5 stars,0,0
14,,"Carrier 1.5 Ton 3 Star (2018) Split AC (Copper, Esko Pro CAS18EO3N8F0, White)","   34,990.00",3.4 out of 5 stars,0,0
15,In stock.,"Voltas 1 Ton 5 Star Window AC (Copper, 125 DY/125 DZA, White)",0,3.6 out of 5 stars,0,"   26,450.00"
16,,"BPL 1 Ton 5 Star (2017) Split AC (BAC12K5AHL, White)","   23,490.00",3.4 out of 5 stars,0,0
17,Available from these sellers.,"LG 1.5 Ton 3 Star Dual Inverter Split AC (JS-Q18CPXD, White)",0,3.9 out of 5 stars,0,0
18,,"Voltas 1.5 Ton 3 Star Inverter Split AC (Copper, 183V JZJ, White)","   36,999.00",3.5 out of 5 stars,0,0
19,In stock.,"Voltas 1 Ton 4 Star Inverter Split AC (Copper, 124V SZS, White)",0,4.2 out of 5 stars,0,"   35,690.00"
20,In stock.,"Voltas 1.5 Ton 4 Star Inverter Split AC (Copper, 184V SZS, White)","   40,839.00",4.3 out of 5 stars,0,0
21,Available from these sellers.,"Voltas 1.5 Ton 3 Star (2018) Split AC (Copper, 183 CZA, White)",0,3.5 out of 5 stars,0,0
22,Available from these sellers.,"Godrej 1.5 Ton 3 Star Inverter Split AC (Copper, GSC 18 AMINV 3 RWQM, White)",0,5.0 out of 5 stars,0,0
23,Only 1 left in stock.,"Voltas 1 Ton 3 Star Inverter Split AC (Copper, 123V CZT, White)",0,3.6 out of 5 stars,0,"   33,500.00"
24,In stock.,Orchid Engineers Stylish Remote Stand/ Remote Holder/ Remote Organizer For Tv And Ac Remotes,   499.00,4.6 out of 5 stars,0,0
25,In stock.,JaipurCrafts 220 TC Blue Polka Dots Reversible Poly Cotton AC Comfort/Blanket/Quilt (Single Bed),   399.00,3.2 out of 5 stars,0,0
26,In stock.,JaipurCrafts 220 TC Flowers Print Reversible Poly Cotton AC Comforts/Blanket/Quilt (Single Bed),   445.00,1.0 out of 5 stars,0,0
