,actualprice,discounted price,name,rating
0,"Rs. 28,475","Rs. 25,290",Whirlpool 240 Ltr 263D Protton Triple Door Refrigerator - Alpha Steel,86%
1,0,"Rs. 17,800",Haier 220 Ltr 4 Star HRD-2204BS-R Single Door Refrigerator - Silver,100%
2,"Rs. 25,990","Rs. 22,990",Whirlpool 245 Ltr NEO DF258 ROY 3S Double Door Refrigerator - Nova Steel,100%
3,"Rs. 35,000","Rs. 32,001",Blue Star 500 CHF 500A Direct Cool Deep Freezer Refrigerator White,74%
4,"Rs. 9,490","Rs. 8,700",LG 45 LTR GL-051SSW Mini Refrigerator White,74%
5,"Rs. 14,600","Rs. 11,390",Samsung 192 Ltr 1 Star RR19H10C3SE Direct Cool Refrigerator Silver,66%
6,"Rs. 22,500","Rs. 19,790",Blue Star 200LTR Chest Freezer - CHF200C/CHFSD200D Deep Freezer White and Blue,84%
7,"Rs. 17,800","Rs. 15,470",Haier 195 Ltr 5 Star HRD-1954PBD-E Single Door Refrigerator - Blue,100%
8,"Rs. 12,890","Rs. 12,500",Videocon 190 Ltr 1 Star VU201EBR_HDK Single Door Refrigerator - Brown,0
9,"Rs. 18,000","Rs. 15,800",Blue Star 100 LTR Chest Freezer - CHF 100C/ CHFSD100D Deep Freezer White and Blue,84%
10,"Rs. 19,150","Rs. 17,199",Samsung 192 Ltr 3 Star RR20M282ZB2/NL Single Door Refrigerator - Star Flower Black,100%
11,"Rs. 19,123","Rs. 17,250",Godrej 221 LTR RD EDGE SX 221 CT 3.2 Direct Cool Refrigerator - Berry Bloom,88%
12,0,Rs. 970,RUDRA'S Brown 2000 ml Copper Fridge Bottle Set of 2,0%
13,0,Rs. 880,RUDRA'S Brown 1800 ml Copper Fridge Bottle Set of 2,80%
14,0,Rs. 479,RUDRA'S Brown 1000 ml Copper Fridge Bottle Set of 1,100%
15,0,Rs. 1008,Cello H2O Multicolour 1000 Fridge Bottle Set of 6,84%
16,"Rs. 30,690","Rs. 26,490",LG 260 LTR 4 Star GL-I292RPZL Double Door Refrigerator - Shiny steel,82%
17,"Rs. 23,850","Rs. 21,800",Whirlpool 245 Ltr 2 Star FR258 Roy 2S Double Door Refrigerator - Wine Exotica,92%
18,"Rs. 25,250","Rs. 24,000",Blue Star 300 Litre Model CHF300B Deep Freezer White,82%
19,"Rs. 19,800","Rs. 18,700",Samsung 192 Ltr 5 Star RR20M2Z2XBS/NL & RR20M1Z2XBS/HL Single Door Refrigerator - Black Mirror VCM,90%
20,"Rs. 73,500","Rs. 65,990",Hitachi 456 Ltr R-WB480PND2-GBW Side By Side Refrigerator Glass Brown,100%
21,"Rs. 22,000","Rs. 17,801",Blue Star 150LTR Chest Freezer - CHF150C/CHFSD150D Deep Freezer White and Blue,82%
22,"Rs. 14,900","Rs. 14,199",Samsung 192 Ltr 2 Star RR19M2412RJ/NL & RR19M1412RJ/HL Single Door Refrigerator - Royal Tendril Red,0
23,"Rs. 18,400","Rs. 18,000",Haier 195 Ltr 5 Star HRD-1954PRL-E Single Door Refrigerator - Red Liana,80%
